number,sourceId,title,domain,corpus,createdAt,chunkCount,primaryCategory,categoryTags,productTags,topicTags,complianceSensitivity,sourceRef
"142","knowledge_source_7563df3a-f151-4e07-b9dc-4e24a8baa20d","The Best Liquid Collagen Is Also the Most Absorbable","training","three-blog","2026-07-08T19:07:48.947Z","6","products","forms-admin|product-science|products","collagene","blog|cellular-absorption|gut-immune|product-education|skin-collagen|skincare|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/the-best-liquid-collagen-is-also-the-most-absorbable"
"143","knowledge_source_3e4cf597-b061-492c-9f2a-22a53bad3dd3","The Cellular Power of An Omega-3 Supplement","training","three-blog","2026-07-08T19:07:48.947Z","5","products","forms-admin|product-science|products","imune|omega-3|vitalite","blog|cellular-absorption|detox|energy|gut-immune|product-education|skincare|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/the-cellular-power-of-an-omega-3-supplement"
"144","knowledge_source_8e554869-8c52-4724-92b4-712de768552c","The Essential Step Your Skincare Routine Has Been Missing","training","three-blog","2026-07-08T19:07:48.947Z","5","products","forms-admin|product-science|products","collagene|purifi|visage","blog|cellular-absorption|detox|product-education|skin-collagen|skincare|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/the-essential-step-your-skincare-routine-has-been-missing"
"145","knowledge_source_9d3e6e45-7efe-4cef-b767-cf47739ac2ae","The Healthy Benefits of Allantoin: A Skincare Essential","training","three-blog","2026-07-08T19:07:48.947Z","5","products","forms-admin|product-science|products","collagene|visage","blog|cellular-absorption|product-education|skin-collagen|skincare|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/the-healthy-benefits-of-allantoin-a-skincare-essential"
"146","knowledge_source_f12819ba-6c16-429e-a97a-0073407b8841","The Link Between Synthetic Caffeine and the &quot;Crash&quot;","training","three-blog","2026-07-08T19:07:48.947Z","5","wellness-education","forms-admin|product-science|products|wellness-education","kynetik|purifi","blog|cellular-absorption|detox|energy|metabolism|product-education|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/the-link-between-synthetic-caffeine-and-the-crash"
"147","knowledge_source_91c98193-c119-469a-8044-4457e3fe59b2","The Many Nutritional Benefits of Mushrooms","training","three-blog","2026-07-08T19:07:48.947Z","8","wellness-education","forms-admin|product-science|products|wellness-education","imune|revive","blog|cellular-absorption|compliance|energy|gut-immune|product-education|skincare|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/the-many-nutritional-benefits-of-mushrooms"
"148","knowledge_source_02c9d616-b867-4890-8694-eedd582ff08f","The Overlooked Hormone Behind Metabolic Health","training","three-blog","2026-07-08T19:07:48.947Z","6","wellness-education","forms-admin|product-science|products|wellness-education","glp-three|mbc-267","blog|cellular-absorption|energy|gut-immune|metabolic-health|metabolism|product-education|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/the-overlooked-hormone-behind-metabolic-health"
"149","knowledge_source_5374fb2a-0921-48ab-b8e5-9acb335b4689","The Real Deal: Turmeric &amp; Ginger’s Synergistic Power","training","three-blog","2026-07-08T19:07:48.947Z","6","wellness-education","forms-admin|product-science|products|wellness-education","revive","blog|cellular-absorption|gut-immune|product-education|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/the-real-deal-turmeric-gingers-synergistic-power"
"150","knowledge_source_43e54d79-836c-4d99-bdf7-6bf20753f6ac","The Real Monsters: How Heavy Metals Can Haunt Your Health","training","three-blog","2026-07-08T19:07:48.947Z","7","wellness-education","forms-admin|product-science|products|vision-strategy|wellness-education","imune","blog|cellular-absorption|detox|gut-immune|product-education|skincare|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/the-real-monsters-how-heavy-metals-can-haunt-your-health"
"151","knowledge_source_d8935002-1fce-43ec-a8e1-08458e027cfc","The Role of Probiotics and Your Digestion","training","three-blog","2026-07-08T19:07:48.947Z","5","wellness-education","forms-admin|product-science|products|wellness-education","imune|omega-3|vitalite","blog|cellular-absorption|energy|gut-immune|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/the-role-of-probiotics-and-your-digestion"
"152","knowledge_source_3cf7cbbd-0907-4e96-8485-56a5e9c93471","The Science of Cellular Absorption: Why GLP THREE is Different","training","three-blog","2026-07-08T19:07:48.947Z","8","products","forms-admin|product-science|products","glp-three|mbc-267","blog|cellular-absorption|energy|glp-three|gut-immune|metabolism|product-education|product-science|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/the-science-of-cellular-absorption-why-glp-three-is-different"
"153","knowledge_source_53f7018a-ce7b-4b94-82f9-ebba99436c7e","The Science of Luxury: Introducing Visage Crème Caviar","training","three-blog","2026-07-08T19:07:48.947Z","4","products","forms-admin|product-science|products","purifi|visage","blog|cellular-absorption|detox|product-education|product-science|skincare|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/the-science-of-luxury-introducing-visage-creme-caviar"
"154","knowledge_source_998754d6-bb89-4620-820a-fdab623491ae","The Secret to Supporting Your Body’s Natural Defenses","training","three-blog","2026-07-08T19:07:48.947Z","6","wellness-education","forms-admin|product-science|products|wellness-education","coq10|eternel|glutathione|imune|purifi","blog|cellular-absorption|detox|gut-immune|metabolism|product-education|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/the-secret-to-supporting-your-bodys-natural-defenses"
"155","knowledge_source_2074082a-b564-4018-af6f-3cbdfc46c87c","The Social Media Advantage: Grow Your THREE Business Online","training","three-blog","2026-07-08T19:07:48.947Z","5","business-building","business-building|forms-admin|products","","blog|business-building|product-education|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/the-social-media-advantage-grow-your-three-business-online"
"156","knowledge_source_1de1282b-63a0-4832-ab84-069718e983be","The Ultimate Inside-Outside Duo for Radiant Skin","training","three-blog","2026-07-08T19:07:48.947Z","6","wellness-education","forms-admin|product-science|products|wellness-education","collagene|visage","blog|cellular-absorption|gut-immune|product-education|skin-collagen|skincare|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/the-ultimate-inside-outside-duo-for-radiant-skin"
"157","knowledge_source_9ac10e1c-328e-47a6-971c-f408173709b8","Think Outside the Jar: Creative Ways to Reuse Your Supplement Containers","training","three-blog","2026-07-08T19:07:48.947Z","5","wellness-education","forms-admin|product-science|products|wellness-education","visage","blog|cellular-absorption|product-education|skincare|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/think-outside-the-jar-creative-ways-to-reuse-your-supplement-containers"
"158","knowledge_source_89186a9d-da2b-4e5a-a933-ff722e0052e0","THREE Black Friday Discounts","training","three-blog","2026-07-08T19:07:48.947Z","3","wellness-education","forms-admin|product-science|products|wellness-education","collagene|eternel|imune|kynetik|purifi|revive|visage|vitalite","blog|cellular-absorption|detox|energy|gut-immune|product-education|skincare|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/three-black-friday-discounts"
"159","knowledge_source_a6152d90-2bd4-49a1-b0e4-a4dc25236317","Clinical Study Results: THREE is Backed by Science","training","three-blog","2026-07-08T19:07:48.947Z","7","product-science","forms-admin|product-science|products","collagene|eternel|imune|purifi|revive|vitalite","blog|cellular-absorption|gut-immune|product-education|product-science|skincare|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/three-supplements-clinical-study-results"
"160","knowledge_source_17b54b3d-7888-4012-b91a-d388c361fbe3","Haven’t Been to the Gym in a While? Tips to Restart a Routine (and Actually Stick to It)","training","three-blog","2026-07-08T19:07:48.947Z","7","wellness-education","forms-admin|product-science|products|wellness-education","purifi|revive","blog|cellular-absorption|detox|metabolism|product-education|skincare|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/tips-to-restart-a-gym-routine-and-actually-stick-to-it"
"161","knowledge_source_291e1f14-9892-4f7b-8fd7-b3de23580567","Top 6 Must-Have Skincare Ingredients for Vibrant Skin","training","three-blog","2026-07-08T19:07:48.947Z","5","products","forms-admin|product-science|products","collagene|purifi|visage","blog|cellular-absorption|detox|product-education|product-science|skin-collagen|skincare|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/top-must-have-skincare-ingredients-for-vibrant-skin-06"
"162","knowledge_source_f914d973-0173-4572-8c2e-1def521448de","Unlocking the Keys to Cellular Absorption","training","three-blog","2026-07-08T19:07:48.947Z","7","product-science","forms-admin|product-science|products","collagene|eternel","blog|cellular-absorption|gut-immune|product-education|product-science|skincare|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/unlocking-the-keys-to-cellular-absorption-with-three"
"163","knowledge_source_7e6bb4b4-e37e-49bc-8180-c54d8231c06e","Unveiling Revíve’s Benefits: A Study on Superoxide","training","three-blog","2026-07-08T19:07:48.947Z","6","products","forms-admin|product-science|products","imune|revive","blog|cellular-absorption|gut-immune|product-education|product-science|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/unveiling-revives-benefits-a-study-on-superoxide"
"164","knowledge_source_01517f46-24f6-4ea4-af67-970b523c8762","Using Visage Pure Cleanse as a Restorative Face Mask","training","three-blog","2026-07-08T19:07:48.947Z","4","products","business-building|forms-admin|product-science|products","purifi|visage","blog|business-building|cellular-absorption|detox|detox-cleanse|product-education|skincare|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/using-visage-pure-cleanse-as-a-restorative-face-mask"
"165","knowledge_source_24280c6d-9217-4195-bc03-2acba2785376","Clean Skin, Confident You: Why Cleansing Should Always Be Step One","training","three-blog","2026-07-08T19:07:48.947Z","4","products","forms-admin|product-science|products","collagene|purifi|visage","blog|cellular-absorption|detox|product-education|skin-collagen|skincare|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/visage-skincare-cleansing-routine"
"166","knowledge_source_e26d1696-68ab-45e6-b7a4-1083916329e3","Visage Super Serum Is More Than Just a Vitamin C Serum","training","three-blog","2026-07-08T19:07:48.947Z","5","products","forms-admin|product-science|products","collagene|visage","blog|cellular-absorption|product-education|skincare|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/visage-super-serum-is-more-than-just-a-vitamin-c-serum"
"167","knowledge_source_b304f09b-10b9-4dea-9857-1a0703d7926c","Water-Based vs. Oil-Based Serums—Which Is Right for You?","training","three-blog","2026-07-08T19:07:48.947Z","8","products","forms-admin|product-science|products","visage","blog|cellular-absorption|product-education|skincare|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/water-based-vs-oil-based-serums-which-is-right-for-you"
"168","knowledge_source_e32623a7-b724-4ac0-9569-ed16eca708c3","From the Norwegian Sea to Your Wellness Routine: The Story Behind MBC-267","training","three-blog","2026-07-08T19:07:48.947Z","6","products","forms-admin|product-science|products","glp-three|mbc-267|omega-3","blog|cellular-absorption|mbc-267|metabolism|product-education|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/wellness-routine-the-story-behind-mbc-267"
"169","knowledge_source_6287d5b7-15c7-4b5f-b930-752618c9e18e","What Are Liposomal Supplements—And Should You Make The Switch?","training","three-blog","2026-07-08T19:07:48.947Z","7","wellness-education","forms-admin|product-science|products|wellness-education","eternel|glutathione|imune|purifi|revive","blog|cellular-absorption|detox|gut-immune|product-education|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/what-are-liposomal-supplements-and-should-you-make-the-switch"
"170","knowledge_source_1bf5d5ca-948e-45ce-a6c3-b5cc248af08a","What is a Neurocosmetic? Unlocking the Connection Between Skin and Mind","training","three-blog","2026-07-08T19:07:48.947Z","5","wellness-education","forms-admin|product-science|products|wellness-education","collagene|visage","blog|cellular-absorption|product-education|skin-collagen|skincare|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/what-is-a-neurocosmetic-unlocking-the-connection-between-skin-and-mind"
"171","knowledge_source_2e5ae261-00b3-4ba0-97a6-4bfc958d2543","What Is Liquid Collagen: The Supplement Everyone’s Talking About","training","three-blog","2026-07-08T19:07:48.947Z","4","products","forms-admin|product-science|products","collagene|visage","blog|cellular-absorption|energy|gut-immune|product-education|skin-collagen|skincare|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/what-is-liquid-collagen-the-supplement-everyones-talking-about"
"172","knowledge_source_b173832b-fae0-4b7e-9fca-219dc8c8e325","What is Yerba Santa?","training","three-blog","2026-07-08T19:07:48.947Z","5","wellness-education","forms-admin|product-science|products|wellness-education","kynetik","blog|cellular-absorption|energy|product-education|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/what-is-yerba-santa"
"173","knowledge_source_926024da-ea85-4bb4-b4ad-8b737a123be7","When To Do A Full Body Cleanse","training","three-blog","2026-07-08T19:07:48.947Z","6","products","product-science|products","purifi","blog|detox|detox-cleanse|energy|product-education|skincare|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/when-to-do-a-full-body-cleanse"
"174","knowledge_source_8ab5822a-199c-4e6c-8af5-d69e2b3c9932","Fresh Start, Fresh Skin: Why Cleansing is the First Step to a Better You in 2025","training","three-blog","2026-07-08T19:07:48.947Z","4","wellness-education","forms-admin|product-science|products|wellness-education","purifi|visage","blog|cellular-absorption|detox|product-education|skincare|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/why-cleansing-is-the-first-step-to-a-better-you-in-2025"
"175","knowledge_source_214b71c5-57b8-4665-b534-50c658961e76","Why Most Energy Drinks Still Miss The Mark","training","three-blog","2026-07-08T19:07:48.947Z","5","products","forms-admin|product-science|products","kynetik","blog|cellular-absorption|energy|kynetik-energy|product-education|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/why-most-energy-drinks-still-miss-the-mark"
"176","knowledge_source_e3d56f53-7625-4255-b9f7-b93023601993","Why Skin Hydration Is the Foundation of Healthy Aging","training","three-blog","2026-07-08T19:07:48.947Z","5","wellness-education","forms-admin|product-science|products|wellness-education","collagene|kynetik|purifi|visage","blog|detox|energy|kynetik-energy|product-education|skin-collagen|skincare|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/why-skin-hydration-is-the-foundation-of-healthy-aging"
"177","knowledge_source_5d7945c2-d934-4439-8850-d711cbe1163c","Why You’re Always Hungry (Even After Eating)","training","three-blog","2026-07-08T19:07:48.947Z","9","wellness-education","forms-admin|product-science|products|wellness-education","glp-three","blog|cellular-absorption|gut-immune|metabolism|product-education|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/why-youre-always-hungry-even-after-eating"
"178","knowledge_source_ec6b222c-d6c1-4b5a-9ad6-76275c32c5d2","A Guide to the ‘biotics: Pre and Postbiotics in Purifí and Vitalité","training","three-blog","2026-07-08T22:00:47.161Z","5","products","forms-admin|product-science|products","imune|purifi|vitalite","blog|cellular-absorption|detox|gut-immune|metabolism|product-education|skincare|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/a-guide-to-the-biotics-pre-and-probiotics-in-purifí-and-vitalité"
"179","knowledge_source_e61beb11-4fd4-474b-8c3d-8ca972017567","A Look Inside the Imúne Formula","training","three-blog","2026-07-08T22:00:47.161Z","5","products","forms-admin|product-science|products","imune|vitalite","blog|cellular-absorption|energy|gut-immune|product-education|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/a-look-inside-the-imúne-formula"
"180","knowledge_source_dd50db17-2a1e-4869-97fe-2004fb019339","Behind the Formula: What Makes Éternel So Effective","training","three-blog","2026-07-08T22:00:47.161Z","5","products","forms-admin|product-science|products","coq10|eternel|glutathione|purifi","blog|cellular-absorption|detox|energy|gut-immune|product-education|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/behind-the-formula-what-makes-éternel-so-effective"
"181","knowledge_source_3e6cdbdb-7f2e-425a-bddc-63d8e96136b8","Collagène: Supporting Beauty From Within","training","three-blog","2026-07-08T22:00:47.161Z","7","products","forms-admin|product-science|products","collagene|visage","blog|cellular-absorption|gut-immune|product-education|skincare|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/collagène-supporting-beauty-from-within"
"182","knowledge_source_5c24a623-b799-4383-a155-0f7db0c411ac","Dr. Dan’s Guest Appearance on the Optimal Protein Podcast with Vanessa Spina","training","three-blog","2026-07-08T22:00:47.161Z","7","wellness-education","forms-admin|product-science|products|wellness-education","vitalite","blog|cellular-absorption|energy|product-education|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/dr.-dan-guest-appearance-on-the-optimal-protein-podcast-with-vanessa-spina"
"183","knowledge_source_a0d294ae-c179-494a-b38e-5bd8e7940b28","A Message of Gratitude from THREE CEO Daniel Picou - III International","training","three-blog","2026-07-08T22:00:47.161Z","3","wellness-education","forms-admin|product-science|products|wellness-education","","blog|energy|product-education|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/en/blog/a-message-of-gratitude-from-three-ceo-daniel-picou"
"184","knowledge_source_3e5acc11-1a1e-402d-bbfa-28c4d7edda93","Quality &amp; Efficacy of THREE Supplements","training","three-blog","2026-07-08T22:00:47.161Z","4","wellness-education","forms-admin|product-science|products|wellness-education","collagene|eternel|imune|purifi|revive|vitalite","blog|cellular-absorption|gut-immune|product-education|skincare|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/en/blog/quality-efficacy-of-three-supplments"
"185","knowledge_source_baab949a-a0be-40fd-b708-1855be6acff1","Love Your Skin With Collagène","training","three-blog","2026-07-08T22:00:47.161Z","6","products","forms-admin|product-science|products","collagene|imune|visage","blog|cellular-absorption|gut-immune|product-education|skincare|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/en/blog/quality-efficacy-of-three-supplments-0"
"186","knowledge_source_97f0b6f6-12aa-4bc8-a1d0-2d6cef3676dd","The Significance of Third-Party Testing for Supplements","training","three-blog","2026-07-08T22:00:47.161Z","10","product-science","forms-admin|product-science|products","","blog|cellular-absorption|compliance|detox|product-education|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/en/blog/quality-efficacy-of-three-supplments-1"
"187","knowledge_source_babb1f54-acd5-428a-aef4-54b7a9e1e4fc","The Three Pillars of Bioavailable Wellness - III International","training","three-blog","2026-07-08T22:00:47.161Z","7","product-science","forms-admin|product-science|products","","blog|cellular-absorption|product-education|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/en/blog/the-three-pillars-of-bioavailable-wellness"
"188","knowledge_source_9236d9ce-6fe9-4ef8-931f-92317c6419f4","Three Proactive Tips to Supporting Foundational Health - III International","training","three-blog","2026-07-08T22:00:47.161Z","10","wellness-education","forms-admin|product-science|products|wellness-education","omega-3|vitalite","blog|cellular-absorption|energy|gut-immune|product-education|skincare|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/en/blog/three-proactive-tips-to-supporting-foundational-health"
"189","knowledge_source_4b5b9fa2-2493-4efb-a459-26d8880362c2","Everything You Need to Know About Visage Crème Caviar","training","three-blog","2026-07-08T22:00:47.161Z","8","products","forms-admin|product-science|products","collagene|purifi|visage","blog|cellular-absorption|detox|product-education|skincare|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/everything-you-need-to-know-about-visage-crème-caviar"
"190","knowledge_source_2785a946-6102-4407-aa31-ba1bd776d76c","Exploring Nature","training","three-blog","2026-07-08T22:00:47.161Z","7","wellness-education","forms-admin|product-science|products|wellness-education","imune","blog|cellular-absorption|gut-immune|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/exploring-natures-winter-bounty-with-dr.-dan"
"191","knowledge_source_2a9aad40-3a7f-401d-8250-75513f8e97b4","Exploring the Hottest Place on Earth with Dr. Dan","training","three-blog","2026-07-08T22:00:47.161Z","6","wellness-education","forms-admin|product-science|products|wellness-education","purifi","blog|cellular-absorption|energy|gut-immune|product-education|skincare|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/exploring-the-hottest-place-on-earth-with-dr.-dan"
"192","knowledge_source_902d80a5-b394-40cc-9c29-88782ed6ce02","Revíve and Thrive: Enhancing Your Exercise Routine","training","three-blog","2026-07-08T22:00:47.161Z","5","products","forms-admin|product-science|products","revive","blog|cellular-absorption|energy|product-education|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/revíve-and-thrive-enhancing-your-excercise-routine"
"193","knowledge_source_27e8dcdf-eaaa-44cc-b21b-ef3869131e3f","Revíve: From Concept to Cellular Support","training","three-blog","2026-07-08T22:00:47.161Z","5","products","product-science|products","revive","blog|cellular-absorption|gut-immune|product-education|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/revíve-from-concept-to-cellular-support"
"194","knowledge_source_5c7a7d5c-cf47-4d7f-a90b-d9574b504c79","Visage and Vitalité for Total Wellness and Radiant Skin","training","three-blog","2026-07-08T22:00:47.161Z","5","products","forms-admin|product-science|products","collagene|omega-3|visage|vitalite","blog|cellular-absorption|gut-immune|product-education|skin-collagen|skincare|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/visage-and-vitalité-for-total-wellness-and-radiant-skin"
"195","knowledge_source_263631cb-7e85-406d-96f0-92181f0e06ae","Vitalité: More Than Just a Multivitamin","training","three-blog","2026-07-08T22:00:47.161Z","4","products","forms-admin|product-science|products","omega-3|vitalite","blog|cellular-absorption|energy|gut-immune|product-education|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/vitalité-more-than-just-a-multivitamin"
"196","knowledge_source_02346e44-9a1b-4cba-a556-d84fa0cbc769","What Makes a Moisturizer Luxurious? How Visage Crème Caviar Uplevels Skincare","training","three-blog","2026-07-08T22:00:47.161Z","7","products","forms-admin|product-science|products","collagene|purifi|visage","blog|cellular-absorption|compliance|detox|metabolism|product-education|skin-collagen|skincare|three-corporate|wellness","standard","url:https://blog.threeinternational.com/en/what-makes-a-moisturizer-luxurious-how-visage-crème-caviar-uplevels-skincare"
"197","knowledge_source_c0388dbf-4be7-4a50-9f4d-08f687c76987","Team Magnificent: 10 Steps to Building Your Business","training","team-mag-training","2026-07-08T22:07:39.621Z","3","team-training","business-building|forms-admin|product-science|products|team-training","glp-three","10-steps|blueprint|business-building|compensation|onboarding|product-education|team-magnificent|training|why","standard","github:https://github.com/devklg/team-magnificent-training/blob/main/10-steps.html"
"198","knowledge_source_61fec354-7bc2-49b4-a727-75c08a0b4666","Team Magnificent: 72-Hour Mission","training","team-mag-training","2026-07-08T22:07:39.621Z","2","team-training","compensation-plan|forms-admin|products|team-training","","compensation|fast-start|launch|product-education|qba|team-magnificent|training","high","github:https://github.com/devklg/team-magnificent-training/blob/main/72hour-mission.html"
"199","knowledge_source_1efc3e49-82cf-4d65-85d9-907045dbf43e","Team Magnificent: Training Hub Index","training","team-mag-training","2026-07-08T22:07:39.621Z","14","team-training","compensation-plan|compliance-policies|forms-admin|products|team-training","collagene|eternel|glp-three|imune|kynetik|purifi|revive|visage|vitalite","compensation|compliance|detox|energy|hub|index|product-education|skincare|team-magnificent|training","high","github:https://github.com/devklg/team-magnificent-training/blob/main/index.html"
"200","knowledge_source_92d05a55-04d3-4c9f-9210-d79c58a41f0b","Team Magnificent: The Art of Invitation Masterclass","training","team-mag-training","2026-07-08T22:07:39.621Z","7","business-building","business-building|compensation-plan|forms-admin|products|team-training|vision-strategy","","business-building|compensation|invitation|ivory|product-education|scripts|team-magnificent|training","high","github:https://github.com/devklg/team-magnificent-training/blob/main/invitation-art-masterclass.html"
"201","knowledge_source_7d94644f-3cb4-451b-9802-21a704ef501c","Team Magnificent: Onboarding","training","team-mag-training","2026-07-08T22:07:39.621Z","6","team-training","business-building|compensation-plan|forms-admin|product-science|products|team-training","glp-three","business-building|compensation|onboarding|product-education|team-magnificent|training","high","github:https://github.com/devklg/team-magnificent-training/blob/main/onboarding.html"
"202","knowledge_source_08efebcc-abea-4f55-81d4-775a1d49f380","Team Magnificent: Product Warm Market","training","team-mag-training","2026-07-08T22:07:39.621Z","2","products","business-building|forms-admin|products|team-training","glp-three","business-building|energy|product|product-education|team-magnificent|training|warm-market","standard","github:https://github.com/devklg/team-magnificent-training/blob/main/product-warm-market.html"
"203","knowledge_source_5bb53113-f723-49e8-803f-4f06b1eb0575","Team Magnificent: Prospecting","training","team-mag-training","2026-07-08T22:07:39.621Z","5","business-building","business-building|compensation-plan|forms-admin|product-science|products|team-training","glp-three","business-building|compensation|metabolism|product-education|prospecting|team-magnificent|training","high","github:https://github.com/devklg/team-magnificent-training/blob/main/prospect.html"
"204","knowledge_source_fcccc749-7714-42d1-aef8-1b33e8c883c0","Team Magnificent: Binary Compensation (Live)","training","team-mag-training","2026-07-08T22:07:39.621Z","2","compensation-plan","compensation-plan|forms-admin|products|team-training","","binary|compensation|product-education|team-magnificent|training","high","github:https://github.com/devklg/team-magnificent-training/blob/main/tm-binary-live.html"
"205","knowledge_source_5069d9f9-3b69-421c-bb58-e140a0b29384","Team Magnificent: Vision Statement","organizational","team-mag-training","2026-07-08T22:07:39.621Z","2","team-training","compensation-plan|forms-admin|products|team-training|vision-strategy","glp-three","compensation|organizational|product-education|team-magnificent|vision","high","github:https://github.com/devklg/team-magnificent-training/blob/main/tm-vision-statement.html"
"206","knowledge_source_507cc56e-8cb2-4730-ac23-0d7f4f2262fc","Team Magnificent: Video Library","training","team-mag-training","2026-07-08T22:07:39.621Z","5","team-training","business-building|compensation-plan|product-science|products|team-training","collagene|eternel|glp-three|imune|kynetik|purifi|revive|visage|vitalite","business-building|compensation|detox|energy|gut-immune|metabolism|product-education|resources|skincare|team-magnificent|training|video","high","github:https://github.com/devklg/team-magnificent-training/blob/main/video-library.html"
"207","knowledge_source_bc254ce7-f2b2-47f8-86b3-af9f19a31bf9","THREE Nueva Compensation Plan","training","three-corpus","2026-07-08T22:09:07.552Z","22","compensation-plan","compensation-plan|forms-admin|product-science|products","","compensation|product-education|rewards-plan|spanish|team-only","high","file:D:/THREE/compensation/nueva-comp.pdf"
"208","knowledge_source_1ef13d0b-2cde-4a12-ba8c-4a06ccb0f03c","Don Failla — How To Build A Large Successful Multi-Level Marketing Organization (Ch 1–4)","training","other","2026-07-08T22:27:20.194Z","71","general-training","business-building|compensation-plan|forms-admin|general-training|product-science|products","","45-second-presentation|business-building|compensation|duplication|failla|foundational-library|mlm-fundamentals|napkin-presentations|product-education|skincare|sponsoring","high","file:D:/foundational-library/how-2-build/how-2-build-ch1-4-docling-fullocr.md"
